INSTANCE,FIRST_FIT,BEST_FIT,WORST_FIT,ALMOST_WORST_FIT
GA-HardWF_20_014.bpp,-1,-1,-0.4547,-1
GA-HardWF_20_015.bpp,-1,-1,-0.4599,-1
GA-HardWF_20_016.bpp,-1,-1,-0.4547,-1
GA-HardWF_20_017.bpp,-1,-1,-0.5352,-1
GA-HardWF_20_018.bpp,-1,-1,-0.4564,-1
GA-HardWF_20_019.bpp,-1,-1,-0.3961,-1
GA-HardWF_20_020.bpp,-1,-1,-0.3973,-1
GA-HardWF_20_021.bpp,-1,-1,-0.6234,-1
GA-HardWF_20_022.bpp,-1,-1,-0.5227,-1
GA-HardWF_20_023.bpp,-1,-1,-0.528,-1
GA-HardWF_20_024.bpp,-1,-1,-0.5379,-1
